province,municipality,name,id,lon,lat,zone,ptmx,ptmy
ORIENTAL MINDORO,BONGABONG,"P 51, Cad 177, Bongabong Cadastre",29913,121.4330447,12.77961158,3,547018.5075,1413210.253
ORIENTAL MINDORO,GLORIA,"BBM No. 69, Cad 691 D, Gloria Cadastre",30293,121.3967774,12.92862834,3,543055.27,1429688.13
PALAWAN,BARBACAN,"S 76, Pls 232, Barbacan Public Land Subdivision",508,119.3205669,10.3120742,2,535111.538,1140262.053
PALAWAN,QUEZON,"BLLM No. 2, Municipality of Quezon, Province of Palawan",255,117.9925578,9.237913056,1,609068.4418,1021600.279
PAMPANGA,MAGALANG,"BBM No. 13, Cad 95, Magalang Cadastre",32580,120.6654556,15.22736389,3,464059.0185,1683987.46
PAMPANGA,MACABEBE,"BBM No. 11, Cad 378 D, Macabebe Cadastre",32501,120.7205376,14.9083577,3,469931.92,1648684.69
PANGASINAN,URDANETA,"BBM No. 8, Cad 3, Ext. B D, Urdaneta Cadastre",34984,120.5456389,15.98273333,3,451364.8936,1767589.322
PANGASINAN,STA.MARIA,"MBM No. 2, Cadm 487 D, Sta. Maria Cadastral Mapping",37093,120.7100122,15.99101886,3,468960.96,1768474.63
QUEZON,UNISAN,"QZN 35, PRS 92",40763,121.9726206,13.84304907,3,605147.6238,1531023.275
QUEZON,CATANAUAN,"BLLM No. 49, Pls 137, Catanauan Public Land Subdivision",69310,122.2618067,13.66879734,4,420138.129,1511654.676
QUIRINO,CABARROGUIS,"BLLM No. 14, Cad 684 D, Cabarroguis Cadastre",40788,121.4843916,16.50325327,3,551713.45,1825193.63
QUIRINO,SAGUDAY,"BLLM No. 1, Cad 1293 D, Saguday Cadastre",40895,121.5620366,16.54185474,3,559991.092,1829486.659
RIZAL,BINANGONAN,"BBM No. 18, Cad 609 D, Binangonan Cadastre",41020,121.217062,14.34576699,3,523413.78,1586435.54
RIZAL,MORONG,"MBM No. 10, Psc 16, Morong Cadastre",41365,121.2213222,14.54371944,3,523852.2116,1608335.91
ROMBLON,BANTON,"BBM No. 33, Cad 541 D, Banton Cadastre",70811,122.0757914,12.95260352,4,399718.26,1432488.16
ROMBLON,SAN AGUSTIN,"P 11, Cad 323 D, San Agustin Cadastre",71100,122.089392,12.44338455,4,400997.2895,1376148.653
SAMAR,ZUMARRAGA,"BLLM No. 1, Municipality of Zumarraga, Province of Samar",88496,124.8353222,11.63364167,5,482042.9526,1286418.221
SAMAR,BASEY,"BLLM No. 1, Pls 08 000017, Municipality of Basey, Province of Samar",88485,125.0682417,11.28195833,5,507450.5081,1247515.6
SAMAR (WESTERN SAMAR),CALBAYOG,"SMR 3219, PRS 92",88149,124.5698293,12.14779116,5,453180.2922,1343319.751
